Name,Mean,MeanLB,MeanUB,Stddev,StddevLB,StddevUB
Mesure de la performance des instances de taille 10/Distance d'édition/dist_naif,0.3912091137299285,0.3786666846035587,0.4110739587513308,1.90280425527987e-2,1.9291936497698205e-3,2.390254406591853e-2
Mesure de la performance des instances de taille 10/Distance d'édition/dist_1,1.117731737808939e-5,1.1003989913475243e-5,1.1437820055900462e-5,5.681457615022947e-7,4.60424900344286e-7,6.980969032050352e-7
Mesure de la performance des instances de taille 10/Distance d'édition/dist_2,6.278343945050975e-6,6.189724599129897e-6,6.431449958962958e-6,2.660658767061435e-7,1.8948162645599023e-7,3.508968707880086e-7
Mesure de la performance des instances de taille 10/Distance d'édition/dist_naif,0.127390563688247,0.1256584495010126,0.1288958395013348,2.0900685069952848e-3,5.940818757467058e-5,2.492143984210428e-3
Mesure de la performance des instances de taille 10/Distance d'édition/dist_1,1.0081333864133331e-5,9.937686086571947e-6,1.042119095429248e-5,4.2500619566601696e-7,3.5051648643717e-7,5.438208549729189e-7
Mesure de la performance des instances de taille 10/Distance d'édition/dist_2,5.688513723855075e-6,5.552608946360284e-6,5.835595880868904e-6,3.3871135221605013e-7,3.127411574918068e-7,4.074241003205812e-7
Mesure de la performance des instances de taille 10/Distance d'édition/dist_naif,1.1877628346165612e-3,1.1742513578192545e-3,1.2039876716171023e-3,2.790349578242927e-5,2.11737776526225e-5,3.608413286555558e-5
Mesure de la performance des instances de taille 10/Distance d'édition/dist_1,5.7577377584566405e-6,5.601010432274023e-6,6.004440216730132e-6,4.499181705022842e-7,2.1461599869042004e-7,7.249948154855201e-7
Mesure de la performance des instances de taille 10/Distance d'édition/dist_2,3.198939084664812e-6,3.168891212584356e-6,3.2356082411421217e-6,7.540887608210056e-8,5.4250610752710556e-8,9.89080946566102e-8
Mesure de la performance des instances de taille 10/Distance d'édition/dist_naif,0.3546803225616107,0.3500461101245188,0.3593145349987026,5.866433399664562e-3,2.483708998624934e-3,6.906915680061252e-3
Mesure de la performance des instances de taille 10/Distance d'édition/dist_1,1.4391875154011286e-5,1.3721588121307866e-5,1.553660173918172e-5,2.2258366424078583e-6,1.6192598451870457e-6,3.012693636737147e-6
Mesure de la performance des instances de taille 10/Distance d'édition/dist_2,6.661418699132596e-6,6.432200732638376e-6,6.970908262097118e-6,6.169624351263573e-7,4.6712128449849087e-7,7.804307157366573e-7
